mask,closed_border,social_restrictions,space_closures,state_of_emergency,testing_screening,mask_prior,closed_border_prior,social_restrictions_prior,space_closures_prior,state_of_emergency_prior,testing_screening_prior,New_cases,New_deaths
0,0,0,0,0,0,1,0,0,1,0,0,-0.7906610560854301,2.973580727361754
0,1,0,1,0,0,1,0,1,1,0,0,1.3582108703344826,-1.0069995203278614
0,1,0,0,0,1,1,0,0,1,0,0,-0.32060300720365503,-0.009120271363893564
0,0,0,0,1,1,0,0,1,1,0,1,2.2267229225108975,-1.0217704643901453
0,0,0,0,1,0,1,0,0,0,0,1,-0.015527476987163736,-2.4753233840359496
0,0,0,1,0,0,1,0,1,1,0,0,-1.4822027023874442,0.37564157933571013
0,0,1,1,0,0,0,0,0,1,0,0,-0.8843114883316988,0.10768554483330756
0,0,0,0,0,0,1,0,1,1,0,0,-0.06389746014740978,0.6740109991576885
0,0,0,1,1,1,0,0,0,1,0,0,-1.261747640462453,-0.994885920073512
0,0,0,0,1,1,0,0,1,0,0,1,1.3964321690536496,-0.5971771477837469
0,1,0,0,0,0,0,0,1,1,0,1,-1.1976765843996966,-1.0819489277764522
0,0,0,1,0,0,1,0,1,1,0,0,0.35211867958937537,-0.8729885911458574
0,0,0,0,1,1,0,0,1,1,0,0,-1.5543374012562283,0.1834566353024373
0,0,1,1,0,0,1,0,1,1,0,1,0.5174740611264884,-0.9214618316792229
0,1,1,0,0,0,1,0,1,0,0,0,-0.15488752133141737,-0.17115178077838417
0,1,0,0,0,0,1,0,0,1,0,0,-1.3202202857013905,-1.239352063181521
0,0,0,0,1,1,1,0,1,1,0,1,1.0831041577960034,-1.2043037716986849
0,0,0,0,0,1,1,0,1,1,0,0,2.3989447499483743,-1.4796372132253957
0,0,0,0,0,1,1,0,0,1,0,0,-1.3859044612635834,-0.3956379631578483
0,0,0,1,0,1,1,0,0,1,0,0,1.4761873168904192,-1.952429625989116
0,1,0,0,0,0,1,0,0,1,0,0,0.9073900244176256,0.28389304876285987
0,1,0,1,0,0,0,0,1,1,0,0,-2.647639239527012,1.03520504577182
0,0,1,0,0,1,0,0,0,0,0,0,-0.3549497538287828,-0.10349452840065687
0,0,0,0,1,1,1,0,0,1,0,0,-0.9822956683880949,-0.24674041655751
0,0,0,0,0,1,1,0,1,0,0,0,0.2817055614656829,1.0242400079059253
0,0,1,0,0,0,1,0,1,1,0,1,1.2051187992742063,1.2678206727918242
0,0,0,0,0,1,1,0,0,0,0,1,0.05239295734780836,0.24123836064056345
0,1,0,0,0,1,1,0,0,1,0,0,0.2061046613527093,0.3071151492434348
0,0,0,0,1,0,1,0,1,1,0,1,-0.13847736268953148,1.0816366070688934
0,1,0,0,0,1,1,0,1,0,0,0,-0.23039927945662256,1.516245918608796
1,0,0,0,1,1,0,0,0,0,0,1,-0.13669836565638888,-0.21356714487151313
0,0,0,1,1,1,1,0,1,0,0,1,1.2756168771944214,0.9171946727730773
0,0,0,0,0,1,1,0,0,1,0,1,-0.8958881169559231,0.33186546613365586
0,0,0,0,0,0,1,0,1,1,0,1,0.3943542079379997,-0.5974723290088224
0,1,0,0,0,0,1,0,0,1,0,0,-0.47678810836502583,-1.497897032925558
0,0,0,0,1,1,1,0,1,1,0,1,0.05479223216782097,-0.677674376927571
0,1,0,1,1,1,1,0,1,1,0,1,1.4535896393290877,-0.5739850758656394
1,0,0,0,1,1,1,0,0,0,0,0,0.14467815287042668,-1.3310019148905055
0,0,1,0,0,1,1,0,1,1,0,1,-0.3849196649760221,-1.7734537244891613
0,0,0,0,1,1,1,0,1,1,0,0,0.1781745682255722,3.0003626602290776
0,1,1,0,1,1,1,0,1,1,0,1,0.28033927272974274,-0.6990243807074084
0,0,0,0,0,0,1,0,0,1,0,1,-0.48957424036835456,-0.6518045129165347
0,0,0,0,0,1,1,0,0,1,0,0,-1.265350852112506,-2.1896482967025728
0,0,0,0,1,1,1,0,0,1,0,0,0.32122097724342324,-2.6835565776923462
0,1,0,0,0,1,1,0,1,1,0,0,-0.5544651053047306,-0.016066936133233855
0,1,0,1,0,0,1,0,1,1,0,0,1.5683466009969234,-0.4376064083278908
0,0,0,0,0,0,1,0,1,0,0,0,0.855380120119723,-0.5324253291953744
0,0,0,0,1,1,1,0,1,0,0,1,1.322663898239387,0.7042466085825277
0,0,0,0,0,0,1,0,0,1,0,1,0.6821735974854992,1.107796630995511
0,1,0,0,0,1,1,0,1,1,0,0,1.4408504078702746,0.4519830097831018
0,0,1,1,0,1,1,0,0,1,0,1,-0.004495545163633258,-0.9261919040978389
0,1,0,0,0,1,1,0,1,1,0,1,1.6277107260040438,-1.2448312836109137
0,0,0,0,0,1,0,0,0,1,0,0,-0.008865650344043845,0.038483235638577966
0,0,0,0,0,0,1,0,1,1,0,1,0.5361615159086498,-1.6744095964886236
0,0,0,0,1,1,1,0,1,0,0,1,-0.49426372270918356,-0.1938929794686863
0,0,0,0,1,0,1,0,0,1,0,0,-0.3479865451142276,1.7295398683519656
0,0,1,1,0,1,1,0,1,1,0,0,-1.695613897868293,1.0667514572069114
0,0,0,1,1,1,1,0,1,1,0,0,1.1061799783435813,0.8221852648436623
0,0,0,0,0,1,0,0,1,1,0,1,-0.9125104629946144,1.2468847847605742
0,1,0,0,0,1,0,0,1,1,0,0,-1.967819835490886,1.2938403343255194
0,0,1,1,0,1,1,0,0,1,0,0,-1.1065834069047737,-0.09990196491310337
0,0,0,0,0,0,1,0,0,1,0,1,0.989964143604819,1.469860429533451
0,0,0,0,1,1,0,0,1,1,0,1,1.4680205325943108,1.5499714583283566
0,0,0,1,1,1,0,0,1,1,0,1,0.06967521440190384,-1.834245651644609
0,1,1,0,0,0,0,0,1,1,0,1,0.9168173534473424,0.2915913589270482
1,1,0,0,1,0,1,0,1,1,0,0,1.223780313653955,1.7809439920960592
1,0,0,0,0,1,0,0,1,1,0,0,-0.7137272691853946,-0.45605878355726087
0,0,0,1,1,0,1,0,1,1,0,0,-1.5649760495126679,-1.4243436752069976
0,0,0,1,1,1,1,0,0,1,0,1,-0.31847664384437063,-1.0246994707422987
0,0,0,0,0,1,0,0,0,1,0,0,-1.7583186368550676,-1.7880571212714385
1,0,0,1,1,1,0,0,1,0,0,0,0.9767293236228662,-1.688608894153796
1,0,0,0,0,1,0,0,1,0,0,0,0.7478357036363549,0.3094268337116286
0,0,0,0,0,1,1,0,1,1,0,0,-1.538904605922849,-0.5524420305901953
0,0,0,0,0,1,0,0,1,1,0,0,0.4126321905186778,0.16407276907986457
0,1,0,0,0,1,1,0,1,1,0,1,-0.018442100646231807,0.6451990386485498
0,0,0,0,0,0,1,0,0,1,0,1,-0.24072360189171685,0.7887353115278127
0,0,0,0,1,1,1,0,1,0,0,0,0.5911991697725473,-0.08613228666366823
0,0,0,0,1,1,1,0,0,0,0,1,-0.5304776016885869,-1.412612442761517
0,0,0,0,0,0,0,0,1,1,0,0,-0.2249087770838544,-0.2096015339248838
0,0,0,0,1,1,1,0,1,1,0,1,1.1876144976019967,-0.4361533476723895
1,1,0,0,0,1,1,0,1,1,0,0,-0.6120622712555776,0.3809870720004035
0,0,1,1,0,1,1,0,0,1,0,1,-0.21183417451105394,0.2075352780206829
0,1,0,1,0,0,1,0,1,1,0,1,0.12363339579523748,0.9533686609570106
0,0,0,1,0,0,1,0,1,1,0,0,-0.5758623499875233,-0.23527530398086846
0,0,0,0,0,1,1,0,0,1,0,1,-0.08767302824608668,0.09485333498241708
0,0,0,1,1,1,1,0,1,1,0,0,-0.7381601636817547,-0.14454272903451737
0,0,0,0,0,1,0,0,0,1,0,1,1.3817845721416866,0.11222207148665785
0,0,0,0,1,1,1,0,1,1,0,1,-0.5071794363765824,1.5527310125328382
1,0,0,1,0,1,1,0,0,1,0,1,-0.5673451662791664,0.4215632794360948
0,0,0,0,0,1,1,0,1,0,0,1,0.488489438109322,1.1594489161862178
0,0,1,0,0,0,1,0,0,1,0,1,-0.2101265134621389,1.0029388920287927
0,0,1,0,0,0,1,0,0,1,0,1,-1.0663573354223421,1.4497782802313628
0,0,0,1,0,1,1,0,0,1,0,1,-0.2652886593631774,0.4212696144791744
0,0,0,0,1,1,1,0,1,1,0,1,0.1210773101126132,-0.18654599788442855
0,1,1,1,0,1,1,0,0,0,0,0,0.11536182160972952,-0.22345578960672163
0,0,1,1,0,0,1,0,0,1,0,0,-0.38063461773758156,0.7840078001529541
0,1,0,0,1,1,0,0,0,0,0,0,0.04059005225639324,0.4935484474339622
0,0,0,0,0,1,1,0,0,1,0,0,-0.7207642040831194,0.17620877954997935
0,1,0,0,0,1,1,0,1,1,0,0,-0.1773960702982095,-0.6309664687619699
0,0,0,0,0,1,1,0,0,1,0,0,-1.299921355642094,1.655328862484429
0,1,0,0,0,1,1,0,1,0,0,0,-0.7069904673000843,-1.533651521280112
0,0,0,0,1,0,1,0,0,1,0,1,0.2561804281548911,-0.1903885052504443
0,0,0,0,1,0,1,0,0,1,0,1,-1.2254008442578197,-2.2424555013024468
0,0,0,0,0,0,0,0,1,1,0,1,-0.8282026303845103,0.8049002100987325
0,0,1,0,0,1,1,0,1,1,0,0,2.1690928656946746,1.7381190482683775
0,1,0,0,0,0,0,0,1,1,0,0,0.4070907521152216,-0.7186633584841016
0,1,0,0,0,0,1,0,0,1,0,0,-0.4501696429372071,-0.6465535409864936
0,0,0,0,0,0,1,0,1,0,0,1,-0.7716933231147769,0.05206702665537725
0,0,0,0,0,1,1,0,0,0,0,1,-1.0159427629173825,0.726330090874744
0,0,0,1,0,1,1,0,0,1,0,0,1.0328038652852047,-0.213764545549669
0,0,0,0,0,1,1,0,1,0,0,0,0.2730201448629205,0.9525346126669929
0,0,0,0,0,1,0,0,0,0,0,0,0.24630109267132755,0.8551423358859893
0,0,0,0,0,1,1,0,1,0,0,0,-1.2998861322256652,-0.9568440680301371
1,0,0,0,0,1,0,0,0,1,0,1,-0.8321480234966273,-0.5041261444424319
0,0,0,0,0,0,0,0,1,1,0,0,0.6987661348235198,0.24180375587320244
0,0,0,0,0,1,1,0,0,1,0,0,-0.6290283250409274,1.6666545644119735
0,0,0,0,0,0,1,0,1,1,0,0,-0.6560421844236685,-0.16182965112613856
0,1,0,0,0,0,1,0,1,1,0,1,1.1731844928155926,-0.23013999855236933
0,0,0,0,0,0,1,0,1,1,0,1,-1.1083931707459216,-1.82027951504066
0,1,1,0,0,0,1,0,0,0,0,1,-1.2675079935656912,-1.3311817534128647
1,1,0,0,0,0,1,0,0,1,0,0,-0.4723091873095846,-0.7329528248974486
0,1,0,0,1,0,1,0,0,1,0,0,-0.7263430361056041,-0.19648526473544048
0,1,1,1,1,0,0,0,1,0,0,1,-0.7988324999887976,-1.180298692863017
0,0,0,0,1,0,1,0,1,1,0,0,-0.6935410042628704,0.21309422114395923
0,0,0,0,1,1,1,0,0,1,0,1,0.04099725966330565,0.5243730459097534
0,0,0,0,0,1,1,0,1,0,0,0,0.8294490557711574,0.4962586023770018
0,0,0,1,0,1,0,0,0,0,0,0,1.5165811271172729,-0.3499733704525506
0,0,0,0,1,1,0,0,0,0,0,0,0.7923536430245989,-0.37324866020734276
0,0,0,0,0,0,1,0,1,1,0,1,-0.336746357397867,1.8566654006872323
0,0,0,0,0,0,1,0,1,1,0,0,0.8662522023598783,0.9206640731835175
0,0,0,0,0,1,0,0,1,1,0,1,0.5087200405684269,-0.6266433810434138
0,0,0,0,0,0,1,0,1,1,0,1,0.3801708532398398,-0.714358723665849
0,0,0,0,0,0,1,0,1,1,0,0,-0.9263480361074984,0.7800494499676467
0,1,0,0,0,0,1,0,1,1,0,0,0.36145402088588835,0.9990114146671534
1,0,0,0,0,1,1,0,0,1,0,0,1.5219886772532463,0.4898533609501181
0,0,0,0,0,0,1,0,0,1,0,0,0.12463844335840767,0.4146854345159407
0,1,0,0,0,1,0,0,1,1,0,1,1.0028222339786956,-1.905050364147245
0,1,0,1,0,0,1,0,1,1,0,1,0.02532781487822677,-1.9088616382069419
0,0,0,0,0,1,1,0,1,1,0,1,-1.2504118939685696,1.0788828891216744
0,0,0,1,0,1,1,0,0,1,0,0,-0.0633320717383156,0.8353475455596584
0,1,0,0,1,0,0,0,0,1,0,0,-1.0461795655177941,1.6631353271724798
0,0,0,0,0,1,0,0,1,1,0,1,-0.22778661437255793,-0.14187218061049797
0,0,0,1,0,1,1,0,1,1,0,1,1.7477672990779847,1.098507298979295
0,0,0,0,1,0,0,0,0,1,0,1,-0.3868184115069228,-1.6949643515835071
0,0,0,0,0,1,1,0,1,0,0,1,0.22216833546434764,-1.0697952375575797
0,0,0,1,1,1,1,0,1,1,0,0,-0.771514929003625,-0.7431476670032489
0,0,0,0,0,1,0,0,0,1,0,1,0.4708129944225163,1.3710632026245655
0,0,0,0,0,1,0,0,1,0,0,0,-0.2250628146472426,-2.0791455812588677
0,1,0,0,1,0,1,0,1,0,0,0,-0.9819789319102378,-2.202001788505239
1,0,0,1,0,1,1,0,1,1,0,0,0.3042136025496244,-1.7328855846109221
0,0,1,0,1,1,1,0,1,1,0,0,0.8767333313051519,-1.3793970459997926
0,0,0,0,1,1,1,0,1,1,0,1,0.4973009055925077,0.7073515032632322
0,0,0,0,1,1,1,0,1,1,0,0,-1.5442616501707658,2.507581825044871
0,0,0,1,0,1,1,0,1,1,0,0,-0.29940179906107023,-0.8787117110003424
0,0,0,0,0,0,1,0,0,0,0,1,-1.5573191450267858,-0.6883457539280466
0,0,0,0,1,1,1,0,1,0,0,0,-0.8756363117551652,-1.421015179565826
0,0,0,0,0,1,0,0,1,1,0,1,1.3901095044450882,-1.467736852128441
0,0,0,0,1,0,1,0,1,0,0,0,0.10553819040828008,0.31659137480314964
0,0,0,0,1,1,0,0,1,1,0,0,-1.287395118799071,1.5884565081991944
0,1,0,0,0,0,1,0,1,1,0,1,2.2023069933436257,-0.4752300608368708
0,0,0,0,1,1,1,0,0,0,0,0,-0.2578462815601534,-0.979287000426947
0,1,0,1,0,1,1,0,1,1,0,1,-0.030966820935241838,0.9694320683562542
0,0,1,1,0,1,1,0,1,1,0,0,-2.732603295088886,-0.6064483379984736
0,0,0,0,0,0,1,0,0,1,0,0,1.2300660946628186,0.6080748636687434
0,0,0,0,1,0,1,0,1,1,0,1,-0.1469739193842564,-2.446766526949921
0,1,0,0,0,1,1,0,0,1,0,1,0.4508626661328493,-0.5408740933522768
0,0,0,0,0,0,0,0,0,0,0,1,2.075574468190041,-0.21084884124769773
1,1,0,0,0,1,1,0,0,1,0,1,-0.9123206521587699,-0.4345806403709502
0,0,0,0,0,0,0,0,1,1,0,1,1.5376217052775532,1.099192333827186
1,1,0,1,1,1,0,0,0,1,0,1,-0.4128989617498424,0.35178247997595724
1,0,0,1,0,1,1,0,1,1,0,0,0.2370557371570524,-0.9988114905414643
0,0,0,0,0,1,1,0,1,1,0,0,0.08041884020492135,-0.00595105599369545
0,0,0,1,1,1,1,0,1,1,0,1,0.6526860283436055,-0.9521832452406749
0,0,0,0,0,1,1,0,0,1,0,0,0.5370063495147356,0.7967734939953613
0,0,0,0,1,0,0,0,1,1,0,0,-0.3219032455811323,-1.1083332312730882
0,0,0,0,1,0,1,0,0,1,0,1,0.13106638635049567,0.04719128876612455
0,0,1,0,0,0,1,0,1,0,0,0,-1.1134546965065835,1.6192138664636402
0,0,0,0,0,0,1,0,1,1,0,0,-0.18061837771666944,-1.2771886876001142
0,0,1,1,1,0,1,0,1,1,0,0,-0.8527428333553894,-2.0545259137744294
0,0,0,1,0,0,1,0,0,0,0,0,-1.2129050592504034,0.0804192769437255
0,0,0,0,0,1,1,0,0,1,0,1,-0.42087968338284093,1.5863156370592622
0,1,0,1,0,1,1,0,1,1,0,1,1.5687253628028832,-0.4126589747821488
0,1,0,0,0,1,1,0,1,1,0,0,0.9064760380871875,-0.1883746635624249
1,0,0,0,0,1,1,0,1,1,0,1,2.3105769199324087,0.5259376550193801
0,0,0,0,1,0,1,0,1,1,0,1,2.878244992371442,0.587017199853979
0,0,0,0,0,1,1,0,1,1,0,1,0.27153728212227696,0.5217422058099044
0,0,0,0,0,0,1,0,0,1,0,1,-0.9749793047506136,0.23231550812009386
0,0,0,1,0,0,1,0,1,1,0,1,-1.0984666561258252,-0.7346140072625257
1,0,1,0,0,1,0,0,0,1,0,0,0.34099989647629075,1.4831224366335303
0,0,0,0,1,1,0,0,1,1,0,0,0.07564830635018834,0.6730544108807888
0,0,1,0,0,0,1,0,1,1,0,0,0.19212674054897708,-0.7516370512619873
0,0,1,0,0,0,0,0,1,1,0,1,-1.4808290378622684,0.4650174086785849
1,0,0,0,1,1,1,0,1,1,0,0,-1.4828055141543621,1.3979160777313588
0,0,0,0,0,1,1,0,0,1,0,1,1.299221589107958,-0.014968320990854508
0,0,0,0,0,1,1,0,0,1,0,0,-0.19577303246877004,-0.8332653866382471
0,0,1,0,0,0,1,0,1,1,0,1,0.7736078562882008,-0.894478155162839
0,0,0,0,0,1,1,0,1,0,0,0,2.1536895658555766,0.3812706324588055
0,0,0,0,1,1,1,0,1,1,0,0,0.6012961921928232,0.3580466231998843
0,0,1,1,0,1,1,0,1,1,0,1,-0.5807130411868558,0.5768023478235142
0,0,0,1,1,0,1,0,1,1,0,1,2.1097167635044216,1.6905939353776425
0,1,0,0,0,1,1,0,1,1,0,0,1.3524452143887926,-0.1984707360712943
1,1,0,0,0,0,1,0,1,1,0,0,0.42559273847524276,-0.39975198948777796
0,1,0,0,0,1,1,0,0,0,0,1,-1.1536602164925385,-0.8316483178898564
0,0,0,0,0,0,0,0,0,0,0,1,1.0041472725149514,-1.891093844397594
0,1,0,0,0,0,1,0,1,0,0,0,0.57965175871729,-0.31386008033641394
0,0,0,1,1,1,1,0,1,1,0,0,0.4134407540839563,-0.014626654177403709
0,0,0,0,1,0,1,0,1,1,0,0,-0.6169657303784486,1.0376884611961823
0,0,0,1,0,1,0,0,0,1,0,1,-0.32252801163665346,-0.6759082733567414
1,1,0,0,0,1,1,0,1,0,0,0,-0.7512809591427639,0.8179282996893354
0,0,0,0,0,1,0,0,1,0,0,1,0.9368741821325214,1.663836177503313
0,0,0,0,1,0,1,0,1,1,0,1,1.8637297543225517,0.5317421405219277
0,0,0,0,0,0,1,0,1,1,0,1,0.15931127554455693,0.11618360412535106
0,0,0,0,0,0,1,0,0,1,0,0,1.1722074618342189,-0.4774062492211375
0,0,0,0,0,1,0,0,0,1,0,0,-1.828253187998226,-0.719001646367603
0,0,0,1,0,1,1,0,1,1,0,0,-0.034017073359112665,0.2226178036887482
0,0,1,0,0,1,0,0,0,1,0,0,0.19668806726976265,-2.4031075649654388
0,0,0,0,0,1,1,0,0,1,0,1,-1.3018557607907282,-0.43337811731171577
0,0,0,0,0,1,1,0,1,1,0,0,-1.729637902561419,-1.3263731698425867
0,0,0,0,1,1,1,0,1,1,0,1,-0.7562028220692537,0.8905174598102
0,1,0,1,0,1,1,0,1,1,0,1,1.1463012558114085,-0.9441521643506204
0,0,1,0,1,1,1,0,1,1,0,1,-1.4759573408057585,-0.9071980135365956
0,0,0,1,1,0,0,0,0,1,0,0,-2.3528001519392108,1.566336245461117
0,0,0,1,0,1,1,0,0,1,0,1,0.9748042260648232,-0.39536988512202975
0,0,0,0,1,0,1,0,0,1,0,0,0.21794392481877925,0.40358977580583805
0,0,0,0,1,0,1,0,1,0,0,1,0.4694964441868388,0.7449017378534275
0,0,0,0,0,0,1,0,0,0,0,1,0.20848985122931246,-0.06073645816949378
0,0,0,0,0,1,1,0,1,0,0,0,-0.4081734406507864,-1.6135056543721467
0,0,0,0,0,1,1,0,1,1,0,1,-0.748783518391836,0.03827508363952398
0,0,0,0,1,0,1,0,1,1,0,1,0.44533432454304633,1.1420277610921183
0,0,0,0,0,0,1,0,1,1,0,0,-2.193571002427256,0.17422469000881105
0,0,0,1,1,1,0,0,0,1,0,1,-0.2941480720781643,-0.22207834880995547
0,0,0,0,1,1,1,0,1,1,0,0,-1.2914854091761554,1.6511304826042354
1,0,0,0,0,1,1,0,1,0,0,1,0.4979903435512547,0.09691405591972214
0,1,0,0,0,1,1,0,0,1,0,1,0.027574719976980723,-0.9778165879280493
0,0,1,0,0,0,1,0,1,1,0,0,-1.358878125360731,-0.3236960191951285
1,0,0,0,0,1,1,0,1,1,0,1,-1.468797671997819,0.42557757724386414
0,0,0,0,1,0,1,0,0,1,0,1,0.014132128309132744,-0.20296271347000738
0,0,0,0,1,1,1,0,1,1,0,1,-0.25729598324126357,-0.9563325747915405
0,0,0,0,0,1,1,0,1,1,0,0,-1.6538650723370159,-0.980074669423508
1,0,0,0,0,0,0,0,0,1,0,0,-0.02351580653670652,1.4486825330856985
0,1,0,0,1,1,1,0,1,1,0,0,-0.4489748109483171,-0.40839503563761137
1,0,0,0,0,1,0,0,1,1,0,1,0.2200640634210733,-0.5601734541764599
0,0,0,0,0,1,1,0,1,1,0,1,-0.5116204169961901,-0.44800480271316023
0,0,0,1,0,0,1,0,1,1,0,1,0.5834150397362393,0.09110646299839278
0,0,0,0,0,0,0,0,1,0,0,0,-0.3613802169878853,0.8058757874299227
0,0,0,1,0,1,1,0,1,1,0,0,0.5296891540767735,0.8279793792845447
0,0,0,0,0,0,0,0,0,1,0,0,1.4190476515216348,1.776326018181677
0,0,0,0,1,1,1,0,1,1,0,1,1.5291451447724214,0.05375419338773224
0,0,0,0,0,1,1,0,0,0,0,0,-0.4875790241589752,-0.8246207637996588
0,0,0,0,1,1,1,0,0,1,0,1,0.034071815942554665,-1.099084785373796
0,0,0,0,0,1,1,0,1,0,0,1,0.8724773087763567,-0.6874364926340517
0,0,0,0,0,1,0,0,1,1,0,0,0.6380846579854793,1.5776669217774095
0,1,0,0,1,1,1,0,1,0,0,1,0.4199048254196645,0.10202377931590213
0,0,0,0,0,0,1,0,0,1,0,1,0.10273134629048085,0.09746961556198436
0,0,0,1,1,1,0,0,0,0,0,0,1.925355666049515,0.2765389023942864
0,0,0,0,0,0,1,0,1,0,0,1,-2.459621785542966,-0.5449209053629069
0,0,0,0,1,1,1,0,1,1,0,0,1.1910610996863529,0.3684409521943503
0,0,0,0,0,1,1,0,1,1,0,0,1.2323114593624531,0.06570730109177858
0,0,0,0,0,0,1,0,0,0,0,1,-2.033801551160096,-0.9073835116748662
0,0,0,1,0,1,1,0,0,1,0,0,1.5188199679118113,-0.037685679139418435
0,0,0,0,0,0,1,0,1,1,0,0,0.34635884360392855,-0.9517945595482588
1,0,0,0,0,1,0,0,1,1,0,0,-1.0214497858236016,0.9431792144798598
0,0,0,0,0,0,1,0,1,0,0,0,0.20797671713953733,0.07471754072163773
1,0,0,1,1,1,0,0,1,1,0,0,0.3938602272272688,0.47217861416374185
0,0,0,0,0,0,1,0,0,1,0,1,0.5957649620702299,-0.05268510294311851
0,0,0,0,0,1,0,0,0,0,0,1,3.1277703635747196,-0.16372127702514208
0,1,0,0,0,0,1,0,0,1,0,1,0.9638905300097073,1.5558551650214234
0,0,0,0,0,0,1,0,1,1,0,1,1.3197315224571453,-0.47207739551829364
